'sigla','nome curso','local','modalidade'
'EQ-MAS ','Estágio de Qualificaç?o de Mergulho Autônomo para Submarinistas','CIAMA','PRS'
'EQ-MAM ','Estágio de Qualificaç?o de Mergulho Autônomo com Misturas','CIAMA','PRS'
'CAMECO','CAMECO    Curso de Aperfeiçoamento de Mergulhador de Combate para Oficiais','CIAMA','PRS'
'C-Esp-MEC','Curso Especial de Mergulhador de Combate','CIAMA','PRS'
'C-Esp-DAE-A ','Curso Especial de Desativaç?o de Artefatos Explosivos "A"','CIAMA','PRS'
'C-Esp-DAE-B ','Curso Especial de Desativaç?o de Artefatos Explosivos "B"','CIAMA','PRS'
'C-Exp-DEMO',' Curso Expedito de Demoliç?o','CIAMA','PRS'
'EQ-GÁS','Estágio de Qualificaç?o do Equipamento Autônomo de Circuito ','CIAMA','PRS'
'C-Esp-MEDSEK ','Curso Especial de Medicina de Submarino e Escafandria','CIAMA','PRS'
'C-EXP-EMED-MG ','Curso Expedito de Emergências Médicas para Mergulhadores','CIAMA','PRS'
'C-EXP-MEDSAT ','Curso Expedito de Medicina no Mergulho Saturado','CIAMA','PRS'
'C-Esp-EFHB ','Curso Especial de Enfermagem em Medicina Hiperbárica','CIAMA','PRS'
'C-Esp-PsiSub  ','Curso Especial de Psicologia de Submarino para Oficiais','CIAMA','PRS'
'C-EXP-MANMOT','CURSO EXPEDIDO DE MANUTENÇ?O DE MOTORES DE POPA','CMEM','PRS'
'C-EXP-MANESTFLUT','CURSO EXPEDIDO DE MANUTENÇ?O EM ESTRUTURAS DE FLUTUADORES','CMEM','PRS'
